LibSize,avg_ssm_z:avg_ndvi_z,avg_ndvi_z:avg_ssm_z,pair_name,adm_id,E,x_col,y_col,avg_ssm_z:avg_fpar_z,avg_fpar_z:avg_ssm_z,avg_ssm_z:yield_z,yield_z:avg_ssm_z,avg_rsm_z:avg_ndvi_z,avg_ndvi_z:avg_rsm_z,avg_rsm_z:avg_fpar_z,avg_fpar_z:avg_rsm_z,avg_rsm_z:yield_z,yield_z:avg_rsm_z,avg_tavg_z:avg_cwb_z,avg_cwb_z:avg_tavg_z,avg_prec_z:yield_z,yield_z:avg_prec_z
6,0.05195063547661751,-0.041618254251893104,avg_ssm_avg_ndvi,IN-03-0518,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.28306256593129697,-0.27741420864405486,avg_ssm_avg_ndvi,IN-03-0518,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.003963314763867176,-0.20137444538289442,avg_ssm_avg_ndvi,IN-03-1001,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.09259436337938663,-0.2006329616403014,avg_ssm_avg_ndvi,IN-03-1001,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.4164139398702777,0.4652992612346824,avg_ssm_avg_ndvi,IN-03-1002,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.4825901997365084,0.5622421831442027,avg_ssm_avg_ndvi,IN-03-1002,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.10231730806840053,-0.11619610244252931,avg_ssm_avg_ndvi,IN-03-1003,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.09426288578468259,-0.195345220985808,avg_ssm_avg_ndvi,IN-03-1003,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.45782059976941014,-0.3637399383041122,avg_ssm_avg_ndvi,IN-03-1004,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.2814035917365426,-0.44916786308138895,avg_ssm_avg_ndvi,IN-03-1004,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.16246620098922132,0.07022838118054137,avg_ssm_avg_ndvi,IN-03-1005,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.09722284104076359,0.4339513817119204,avg_ssm_avg_ndvi,IN-03-1005,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.18032957204992628,-0.15827471442596716,avg_ssm_avg_ndvi,IN-03-1006,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.11490644620127768,-0.13949959603334997,avg_ssm_avg_ndvi,IN-03-1006,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.33721031304212157,0.12344766156722246,avg_ssm_avg_ndvi,IN-03-2001,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.5136137815378327,0.6191098976076713,avg_ssm_avg_ndvi,IN-04-0177,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.5657107503541946,0.7212674944940687,avg_ssm_avg_ndvi,IN-04-0177,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
